account_id,customer_id,product_code,product_name,status,opened_date,maturity_date,principal_amount,outstanding_balance,interest_rate_pct,self_build_flag
L1001,C2018,SELF_BUILD,Self Build Mortgage,ACTIVE,21/02/2021,20/04/2042,170609.99,111888.62,3.84,Y
L1002,C2001,RESI_FIX_5Y,Residential 5-Year Fixed,CLOSED,15/05/2023,26/01/2039,91024.97,0,5.19,N
L1003,C2001,SELF_BUILD,Self Build Mortgage,ARREARS,22/01/2024,15/06/2048,161563.03,135019.24,6.21,Y
L1004,C2004,RESI_VAR,Residential Variable,ARREARS,16/05/2023,28/12/2045,182812.4,125432.25,6.06,N
L1005,C2018,BTL_VAR,Buy-To-Let Variable,ACTIVE,06/01/2023,19/09/2045,303378.63,279973.37,5.94,N
L1006,C2019,BTL_VAR,Buy-To-Let Variable,ACTIVE,05/02/2024,29/08/2045,386879.73,327844.94,6.39,N
L1007,C2008,SELF_BUILD,Self Build Mortgage,ACTIVE,04/04/2021,29/01/2051,164322.36,117614.58,3.77,Y
L1008,C2007,RESI_FIX_5Y,Residential 5-Year Fixed,ACTIVE,24/07/2022,20/09/2047,315203.24,235120.46,4.74,N
L1009,C2015,SELF_BUILD,Self Build Mortgage,ARREARS,27/05/2021,20/01/2050,314941.97,256254.41,4.32,Y
L1010,C2008,BTL_VAR,Buy-To-Let Variable,ACTIVE,15/02/2024,15/01/2044,333307.27,312355.83,6.1,N
L1011,C2011,BTL_FIX_2Y,Buy-To-Let 2-Year Fixed,ACTIVE,03/07/2022,23/12/2038,158063.65,154454.09,6.44,N
L1012,C2018,SELF_BUILD,Self Build Mortgage,ACTIVE,22/03/2023,17/08/2052,249775.19,176329.31,4.33,Y
L1013,C2005,GREEN_5Y,Green Mortgage 5Y,ACTIVE,12/04/2024,16/11/2048,412194.47,313168.95,4.23,Y
L1014,C2003,RESI_FIX_5Y,Residential 5-Year Fixed,ACTIVE,13/08/2021,13/01/2040,312155.04,286193.65,4.91,Y
L1015,C2004,BTL_VAR,Buy-To-Let Variable,CLOSED,17/08/2023,25/06/2050,173023.22,0,6.66,N
L1016,C2009,SELF_BUILD,Self Build Mortgage,ACTIVE,17/08/2021,14/03/2043,240863.14,188232.01,6.7,Y
L1017,C2020,GREEN_5Y,Green Mortgage 5Y,ACTIVE,06/11/2023,22/03/2041,402091.87,289256.01,5.64,N
L1018,C2020,RESI_VAR,Residential Variable,ACTIVE,27/11/2021,28/12/2048,432794.91,419366.86,6.58,N
L1019,C2002,BTL_VAR,Buy-To-Let Variable,ACTIVE,18/08/2021,04/10/2044,405127.09,377848.35,4.53,N
L1020,C2005,GREEN_5Y,Green Mortgage 5Y,ACTIVE,25/06/2021,16/05/2047,381928.6,378565.26,5.28,N
L1021,C2007,SELF_BUILD,Self Build Mortgage,ACTIVE,31/01/2024,10/10/2042,178070.95,168984.56,4.92,Y
L1022,C2017,GREEN_5Y,Green Mortgage 5Y,ARREARS,16/02/2022,09/02/2044,227627.15,197733.97,4.75,Y
L1023,C2008,RESI_FIX_5Y,Residential 5-Year Fixed,ACTIVE,06/04/2022,08/09/2038,205091.66,171317.88,4.27,N
L1024,C2017,RESI_FIX_5Y,Residential 5-Year Fixed,ARREARS,01/05/2021,15/06/2041,104938.12,64281.44,4.61,N
L1025,C2019,BTL_FIX_2Y,Buy-To-Let 2-Year Fixed,ARREARS,22/09/2023,09/07/2043,279516.55,248585.54,6.46,Y
