transaction_id,account_id,transaction_type,amount,transaction_date,value_date,end_to_end_id,narrative
LTX5001,L1001,REPAYMENT,1230.45,30/04/2026,30/04/2026,E2E00005001,Monthly repayment L1001
LTX5002,L1001,REPAYMENT,802.55,25/03/2026,25/03/2026,E2E00005002,Monthly repayment L1001
LTX5003,L1003,REPAYMENT,1282.75,24/04/2026,24/04/2026,E2E00005003,Monthly repayment L1003
LTX5004,L1003,REPAYMENT,1440.11,07/03/2026,07/03/2026,E2E00005004,Monthly repayment L1003
LTX5005,L1003,REPAYMENT,1095.14,22/05/2026,22/05/2026,E2E00005005,Monthly repayment L1003
LTX5006,L1004,REPAYMENT,1272.4,14/03/2026,14/03/2026,E2E00005006,Monthly repayment L1004
LTX5007,L1004,REPAYMENT,1444.97,25/03/2026,25/03/2026,E2E00005007,Monthly repayment L1004
LTX5008,L1004,REPAYMENT,1376.33,18/03/2026,18/03/2026,E2E00005008,Monthly repayment L1004
LTX5009,L1004,INTEREST_ACCRUAL,633.43,31/05/2026,31/05/2026,,Monthly interest accrual L1004
LTX5010,L1005,REPAYMENT,1967.6,10/03/2026,10/03/2026,E2E00005010,Monthly repayment L1005
LTX5011,L1005,REPAYMENT,1760.47,10/05/2026,10/05/2026,E2E00005011,Monthly repayment L1005
LTX5012,L1006,REPAYMENT,2841.53,02/03/2026,02/03/2026,E2E00005012,Monthly repayment L1006
LTX5013,L1006,REPAYMENT,2359.92,31/03/2026,31/03/2026,E2E00005013,Monthly repayment L1006
LTX5014,L1006,REPAYMENT,2548.95,02/05/2026,02/05/2026,E2E00005014,Monthly repayment L1006
LTX5015,L1006,REPAYMENT,2801.6,21/04/2026,21/04/2026,E2E00005015,Monthly repayment L1006
LTX5016,L1006,INTEREST_ACCRUAL,1745.77,31/05/2026,31/05/2026,,Monthly interest accrual L1006
LTX5017,L1007,REPAYMENT,875.37,19/04/2026,19/04/2026,E2E00005017,Monthly repayment L1007
LTX5018,L1007,REPAYMENT,887.4,28/04/2026,28/04/2026,E2E00005018,Monthly repayment L1007
LTX5019,L1008,REPAYMENT,1842.18,11/05/2026,11/05/2026,E2E00005019,Monthly repayment L1008
LTX5020,L1008,REPAYMENT,1537.93,02/05/2026,02/05/2026,E2E00005020,Monthly repayment L1008
LTX5021,L1008,REPAYMENT,1575.67,07/04/2026,07/04/2026,E2E00005021,Monthly repayment L1008
LTX5022,L1008,REPAYMENT,1792.56,08/03/2026,08/03/2026,E2E00005022,Monthly repayment L1008
LTX5023,L1009,REPAYMENT,1368.09,10/04/2026,10/04/2026,E2E00005023,Monthly repayment L1009
LTX5024,L1009,REPAYMENT,1619.86,14/05/2026,14/05/2026,E2E00005024,Monthly repayment L1009
LTX5025,L1009,REPAYMENT,1428.25,07/05/2026,07/05/2026,E2E00005025,Monthly repayment L1009
LTX5026,L1009,REPAYMENT,1381.86,05/05/2026,05/05/2026,E2E00005026,Monthly repayment L1009
LTX5027,L1009,INTEREST_ACCRUAL,922.52,31/05/2026,31/05/2026,,Monthly interest accrual L1009
LTX5028,L1010,REPAYMENT,2299.44,09/03/2026,09/03/2026,E2E00005028,Monthly repayment L1010
LTX5029,L1010,REPAYMENT,2136.58,31/03/2026,31/03/2026,E2E00005029,Monthly repayment L1010
LTX5030,L1010,REPAYMENT,2042.04,12/05/2026,12/05/2026,E2E00005030,Monthly repayment L1010
LTX5031,L1010,REPAYMENT,1918.16,16/05/2026,16/05/2026,E2E00005031,Monthly repayment L1010
LTX5032,L1010,INTEREST_ACCRUAL,1587.81,31/05/2026,31/05/2026,,Monthly interest accrual L1010
